格式,平均原始大小(MB),平均压缩后大小(MB),平均压缩率(%),平均纹理占比(%),样本数量
FBX,335.3,190.7,27.4,51.5,5
OBJ,382.9,205.8,55.2,38.7,5
GLTF,294.6,264.1,32.3,48.6,5
GLB,294.3,264.1,32.2,48.7,5
